asin,title,author,narrator,runtime_minutes,runtime_hours,price_usd,star_rating,review_count,value_score,cost_per_hour_usd,credit_worth_ratio,worth_using_credit,categories,cover_image_url,detail_page_url
B005GFQ5WQ,The Count of Monte Cristo,Alexandre Dumas,Bill Homewood,3161,52.68,18.47,5.0,2576,14.26,0.35,1.24,Yes,Classic | Adventure | Fiction,https://m.media-amazon.com/images/I/611Eot7+zJL._SL500_.jpg,https://www.amazon.com/dp/B005GFQ5WQ
B095TS6LLR,War and Peace,"Leo Tolstoy, Louise Maude - translator, Aylmer Maude - translator",Thandiwe Newton,3614,60.23,19.99,4.5,309,13.56,0.33,1.34,Yes,Classic | Historical Fiction | Fiction,https://m.media-amazon.com/images/I/51mkP3asfJL._SL500_.jpg,https://www.amazon.com/dp/B095TS6LLR
1603691634,Gone with the Wind,Margaret Mitchell,Charlton Griffin,2831,47.18,23.28,5.0,20,10.13,0.49,1.56,Yes,Fiction | Historical Fiction | Romance,https://m.media-amazon.com/images/I/514vSgKQa6L._SL500_.jpg,https://www.amazon.com/dp/1603691634
B002UZML5K,The Shadow Rising,Robert Jordan,"Kate Reading, Michael Kramer",2473,41.22,21.40,5.0,816,9.63,0.52,1.43,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51q3FzspIQL._SL500_.jpg,https://www.amazon.com/dp/B002UZML5K
0241429536,Don Quixote,"Miguel Cervantes, John Rutherford - translator","Kayvan Novak, Josh Cohen, Alistair Petrie, Richard Hughes",2357,39.28,18.82,4.5,23,9.39,0.48,1.26,Yes,Fiction | Classic | Adventure,https://m.media-amazon.com/images/I/51S+pJ+Q3OL._SL500_.jpg,https://www.amazon.com/dp/0241429536
B0G5T58YV5,Royal Assassin,Robin Hobb,Joe Eyre,1682,28.03,15.32,5.0,1,9.15,0.55,1.02,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51Ico-0IQoL._SL500_.jpg,https://www.amazon.com/dp/B0G5T58YV5
B0H9SWDSCV,A Classic Pair: Great Expectations & A Woman in White,"Charles Dickens, Wilkie Collins","Stephen Fry, Nicholas Boulton",2981,49.68,21.24,3.9,2595,9.12,0.43,1.42,Yes,Fiction | Classic | Literary Fiction,https://m.media-amazon.com/images/I/41l3OuTk65L._SL500_.jpg,https://www.amazon.com/dp/B0H9SWDSCV
B09JT4PH62,The Eye of the World,Robert Jordan,Rosamund Pike,1975,32.92,20.49,5.0,1341,8.03,0.62,1.37,Yes,Fantasy | Epic Fantasy | Fiction,https://m.media-amazon.com/images/I/51O09ziUqrL._SL500_.jpg,https://www.amazon.com/dp/B09JT4PH62
B0FBCXZ6YK,The Emperor of All Maladies,Siddhartha Mukherjee,Fred Sanders,1647,27.45,17.26,5.0,6,7.95,0.63,1.15,Yes,Non-Fiction | Science | History,https://m.media-amazon.com/images/I/51+o+pS5EqL._SL500_.jpg,https://www.amazon.com/dp/B0FBCXZ6YK
B0036NAYIQ,Jonathan Strange & Mr Norrell,Susanna Clarke,Simon Prebble,1949,32.48,18.56,4.5,947,7.88,0.57,1.24,Yes,Fantasy | Historical Fiction | Fiction,https://m.media-amazon.com/images/I/41MikN7wW1L._SL500_.jpg,https://www.amazon.com/dp/B0036NAYIQ
